active_through,candidate_id,candidate_inactive,candidate_status,cycles,district,district_number,election_districts,election_years,federal_funds_flag,first_file_date,has_raised_funds,inactive_election_years,incumbent_challenge,incumbent_challenge_full,last_f2_date,last_file_date,load_date,name,office,office_full,party,party_full,state
2022,S6NC00324,False,N,"[2016, 2018, 2020, 2022]",00,0.0,"['00', '00', '00']","[2016, 2018, 2022]",False,2016-08-17,True,,O,Open seat,2017-01-23,2017-01-23,2021-12-08T06:50:51,"ABRAMS, MARCIA KAREN DR PHD",S,Senate,REP,REPUBLICAN PARTY,NC
1984,H4UT01017,False,P,"[1984, 1986]",01,1.0,['01'],[1984],False,1984-07-05,True,,C,Challenger,1984-07-05,1984-07-05,2002-03-30T00:00:00,"ABRAMS, MILTON C",H,House,DEM,DEMOCRATIC PARTY,UT
2024,H4NH00013,False,N,[2024],00,0.0,['00'],[2024],False,2024-01-11,False,,C,Challenger,2024-01-11,2024-01-11,2024-01-22T20:58:30,"ABRAMSON, MAX",H,House,REP,REPUBLICAN PARTY,NH
2020,P00012732,False,N,"[2020, 2022, 2024]",00,0.0,['00'],[2020],False,2019-07-09,False,,C,Challenger,2020-04-19,2020-04-19,2021-12-08T06:50:50,"ABRAMSON, MAX",P,President,VET,VETERANS PARTY,US
2008,H8IN08125,False,P,[2008],08,8.0,['08'],[2008],False,2008-02-06,True,,C,Challenger,2008-02-06,2008-02-06,2008-07-21T00:00:00,"ABRAMSON, PAUL",H,House,REP,REPUBLICAN PARTY,IN
1998,S0NY00162,False,P,"[1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008]",00,0.0,"['00', '00']","[1992, 1998]",False,1991-11-05,True,,C,Challenger,1993-02-03,1993-02-03,2002-04-12T00:00:00,"ABRAMS, ROBERT",S,Senate,DEM,DEMOCRATIC PARTY,NY
1976,H6MD02013,False,P,"[1976, 1978, 1980, 1982, 1984]",02,2.0,['02'],[1976],False,1976-03-22,False,,,,1976-03-22,1976-03-22,2002-03-30T00:00:00,"ABRAMS, ROSALIE SILBER",H,House,DEM,DEMOCRATIC PARTY,MD
2008,H6NJ07136,False,N,"[2006, 2008]",07,7.0,"['07', '07']","[2006, 2008]",False,,False,,O,Open seat,,,2008-09-22T00:00:00,"ABRAMS, THOMAS D.",H,House,IND,INDEPENDENT,NJ
2004,H2NJ12101,False,N,"[2002, 2004]",07,7.0,"['12', '07']","[2002, 2004]",False,,False,,C,Challenger,,,2004-09-21T00:00:00,"ABRAMS, THOMAS D.",H,House,LIB,LIBERTARIAN PARTY,NJ
2020,P00006270,False,N,"[2018, 2020, 2022, 2024]",00,0.0,['00'],[2020],False,2017-08-25,False,,C,Challenger,2017-08-25,2017-08-25,2021-12-08T06:50:50,"ABRAUGH, MATTHEW M. MR.",P,President,NON,NON-PARTY,US
2020,H0NY00089,False,N,"[2020, 2022, 2024]",00,0.0,['00'],[2020],False,2019-12-08,False,,C,Challenger,2019-12-08,2019-12-18,2021-12-08T06:50:51,"ABREU DE LA CRUZ F, JOSE MIGUEL",H,House,REP,REPUBLICAN PARTY,NY
2017,H8GA06302,False,C,[2018],06,6.0,['06'],[2017],False,2017-02-15,True,,O,Open seat,2017-02-15,2017-02-15,2017-05-09T21:04:56,"ABROMS, DAVID",H,House,REP,REPUBLICAN PARTY,GA
1990,H0ME01028,False,P,"[1990, 1992, 1994, 1996]",01,1.0,['01'],[1990],False,1990-01-31,True,,C,Challenger,1990-01-31,1990-01-31,2002-04-02T00:00:00,"ABROMSON, LINDA",H,House,DEM,DEMOCRATIC PARTY,ME
2024,H4DC01033,False,C,[2024],00,0.0,['00'],[2024],False,2024-04-12,True,,C,Challenger,2024-04-12,2024-04-12,2024-04-19T21:00:52,"A BROWN, MICHAEL",H,House,IND,INDEPENDENT,DC
1988,H8FL06072,False,C,[1988],06,6.0,['06'],[1988],False,1988-07-16,True,,O,Open seat,1988-07-16,1988-07-16,2005-05-26T00:00:00,"ABSHIER, ROY",H,House,REP,REPUBLICAN PARTY,FL
2004,S4OR00073,False,N,[2004],00,0.0,['00'],[2004],False,,False,,C,Challenger,,,2004-03-30T00:00:00,"ABSHIER, THOMAS LEE",S,Senate,REP,REPUBLICAN PARTY,OR
1986,H6MA00015,False,P,"[1976, 1986, 1988]",08,8.0,"['00', '08']","[1976, 1986]",False,1976-04-02,True,,C,Challenger,1985-11-25,1985-11-25,2002-03-30T00:00:00,"ABT, CLARK C",H,House,REP,REPUBLICAN PARTY,MA
2020,H0TX23193,False,P,"[2020, 2022, 2024]",23,23.0,['23'],[2020],False,2019-06-03,True,,O,Open seat,2019-12-02,2019-12-02,2021-03-29T15:22:09,"ABUABARA, ROSALINDA RAMOS",H,House,DEM,DEMOCRATIC PARTY,TX
2022,S2FL00482,False,N,"[2022, 2024]",00,0.0,['00'],[2022],False,2021-01-14,False,,C,Challenger,2021-01-14,2021-01-14,2021-12-08T06:50:51,"ABUD, EDWARD",S,Senate,DEM,DEMOCRATIC PARTY,FL
2004,H2CA12158,False,P,"[2002, 2004, 2006, 2008]",12,12.0,"['12', '12']","[2002, 2004]",False,2002-03-05,True,,C,Challenger,2003-09-29,2003-09-29,2005-03-02T00:00:00,"ABU-GHAZALAH, MAAD H H",H,House,DEM,DEMOCRATIC PARTY,CA
2020,H0MO06180,False,C,[2020],06,6.0,['06'],[2020],False,2019-02-18,True,,C,Challenger,2019-02-18,2019-02-18,2019-07-22T21:11:27,"ABUNDIS, VICTOR",H,House,DEM,DEMOCRATIC PARTY,MO
1996,H6CA16119,False,N,[1996],16,16.0,['16'],[1996],False,,False,,C,Challenger,,,2002-04-02T00:00:00,"ABU-SHUMAYS, ABAAN",H,House,NLP,NATURAL LAW PARTY,CA
2022,H2SC04154,False,P,"[2022, 2024]",04,4.0,['04'],[2022],False,2021-10-27,True,,C,Challenger,2021-10-27,2021-10-27,2023-03-09T10:16:03,"ABUZEID, GEORGE ASSAD",H,House,REP,REPUBLICAN PARTY,SC
1986,H6NY20134,False,P,"[1986, 1988, 1990, 1992, 1994, 1996]",20,20.0,['20'],[1986],False,1986-06-20,True,,C,Challenger,1986-06-20,1986-06-20,2002-04-02T00:00:00,"ABZUG, BELLA S",H,House,DEM,DEMOCRATIC PARTY,NY
1978,H8NY18134,False,P,"[1978, 1980, 1982, 1984]",18,18.0,['18'],[1978],False,1978-01-31,True,,C,Challenger,1978-01-31,1978-01-31,2002-03-30T00:00:00,"ABZUG, BELLA S.",H,House,DEM,DEMOCRATIC PARTY,NY
1982,S6NY00037,False,P,"[1976, 1978, 1980, 1982, 1984]",00,0.0,"['00', '00']","[1976, 1982]",False,1976-07-10,True,,,,1976-07-10,1976-10-19,2002-03-30T00:00:00,"ABZUG, BELLA S.",S,Senate,DEM,DEMOCRATIC PARTY,NY
2024,S4OR00289,False,N,[2024],00,0.0,['00'],[2024],False,2023-05-11,False,,C,Challenger,2023-05-11,2023-05-31,2023-05-16T21:16:28,"ACCARDI, LORENZO",S,Senate,W,WRITE-IN,OR
1994,H4LA03010,False,N,[1994],03,3.0,['03'],[1994],False,,False,,C,Challenger,,,2002-03-30T00:00:00,"ACCARDO, NICK",H,House,O,,LA
2010,S0LA00220,False,N,[2010],00,0.0,['00'],[2010],False,,False,,C,Challenger,,,2010-07-19T22:15:49,"ACCARDO, NICK J.",S,Senate,REP,REPUBLICAN PARTY,LA
1996,S0LA00048,False,N,"[1990, 1992, 1994, 1996, 1998]",00,0.0,"['00', '00', '00']","[1990, 1992, 1996]",False,1989-08-24,True,,C,Challenger,1992-09-18,1992-09-18,2002-04-03T00:00:00,"ACCARDO, NICK J MD",S,Senate,UNK,UNKNOWN,LA
2018,H8MI10132,False,C,[2018],10,10.0,['10'],[2018],False,2018-05-09,True,,C,Challenger,2018-05-09,2018-05-09,2018-07-17T21:11:36,"ACCAVITTI, FRANK JR",H,House,DEM,DEMOCRATIC PARTY,MI
2016,H6MI10227,False,P,"[2016, 2018]",10,10.0,['10'],[2016],False,2016-04-19,True,,O,Open seat,2016-04-19,2016-04-19,2017-02-23T14:47:46,"ACCAVITTI, FRANK MR. JR",H,House,DEM,DEMOCRATIC PARTY,MI
2022,H2NH01254,False,P,"[2022, 2024]",01,1.0,['01'],[2022],False,2021-02-25,True,,C,Challenger,2021-02-25,2021-02-25,2023-03-09T10:16:03,"ACCIARD, JULIAN MARC",H,House,REP,REPUBLICAN PARTY,NH
1980,H0NY21028,False,P,"[1980, 1982, 1984]",21,21.0,['21'],[1980],False,1980-08-21,False,,,,1980-08-21,1980-08-21,2002-03-30T00:00:00,"ACETO, GINA A",H,House,CRV,CONSERVATIVE PARTY,NY
2022,H2CA18171,False,P,"[2022, 2024]",18,18.0,['18'],[2022],False,2022-02-13,True,,C,Challenger,2022-02-19,2022-02-19,2023-03-09T10:16:03,"ACEVEDO-ARREGUIN, LUIS",H,House,DEM,DEMOCRATIC PARTY,CA
2002,H2CT03078,False,N,[2002],03,3.0,['03'],[2002],False,2002-06-21,True,,C,Challenger,2002-06-21,2002-06-21,2002-06-24T00:00:00,"ACEVEDO, CHRISTOPHER DUFFY",H,House,REP,REPUBLICAN PARTY,CT
2024,P40011769,False,N,[2024],00,0.0,['00'],[2024],False,2023-04-05,False,,C,Challenger,2023-04-05,2023-04-11,2023-04-16T21:09:31,"ACEVEDO DIAZ PARES MIRANDA, VANDERELMO",P,President,STA,,US
2024,P40011710,False,N,[2024],00,0.0,['00'],[2024],False,2023-04-02,False,,C,Challenger,2023-04-02,2023-04-05,2023-04-16T21:09:31,"ACEVEDO DIAZ PARES MIRANDA, VANDERELMO",P,President,STA,,US
2024,P40007163,False,N,"[2022, 2024]",00,0.0,['00'],[2024],False,2022-01-13,False,,C,Challenger,2022-01-13,2022-02-14,2023-01-12T22:24:01,"ACEVEDO DIAZ, VANDERELMO JAMES ACEVEDO",P,President,W,WRITE-IN,US
1994,H4CA50014,False,P,"[1994, 1996, 1998, 2000]",50,50.0,['50'],[1994],False,1994-03-23,True,,C,Challenger,1994-03-23,1994-03-23,2002-04-07T00:00:00,"ACEVEDO, MARY ALICE",H,House,REP,REPUBLICAN PARTY,CA
2020,H8PR00054,False,P,"[2000, 2002, 2004, 2006, 2020, 2022, 2024]",00,0.0,"['00', '00', '00']","[2000, 2004, 2020]",False,1999-06-11,True,,C,Challenger,2020-02-21,2020-02-21,2021-03-29T15:22:09,"ACEVEDO-VILA, ANIBAL",H,House,DEM,DEMOCRATIC PARTY,PR
2016,H6CA24295,False,C,[2016],24,24.0,['24'],[2016],False,2015-04-13,True,,O,Open seat,2015-05-15,2015-05-15,2015-09-08T20:59:20,"ACHADJIAN, KHATCHIK",H,House,REP,REPUBLICAN PARTY,CA
2022,H2FL10218,False,C,[2022],10,10.0,['10'],[2022],False,2021-06-08,True,,O,Open seat,2021-09-15,2021-09-15,2022-08-11T21:11:10,"ACHENBACH, JACK JOSEPH",H,House,DEM,DEMOCRATIC PARTY,FL
1986,H6IL09012,False,N,"[1976, 1986]",09,9.0,"['09', '09']","[1976, 1986]",False,,False,,C,Challenger,,,2002-03-30T00:00:00,"ACHESON, JUDITH",H,House,DEM,DEMOCRATIC PARTY,IL
2022,H2UT02431,False,N,[2022],02,2.0,['02'],[2022],False,2021-01-04,True,,C,Challenger,2021-01-14,2021-01-14,2021-01-21T23:11:46,"ACHESON, PHELAN DOUGLAS",H,House,IND,INDEPENDENT,UT
2018,H8NY05107,False,P,"[2018, 2020]",05,5.0,['05'],[2018],False,2018-02-14,True,,C,Challenger,2018-04-02,2018-04-02,2019-03-27T16:02:41,"ACHILLE, CARL H.",H,House,DEM,DEMOCRATIC PARTY,NY
1980,P00002626,False,C,[1980],00,0.0,['00'],[1980],False,1980-03-24,False,,,,1980-03-24,1980-03-24,2002-03-30T00:00:00,"ACHLEY, TEDDY M",P,President,IND,INDEPENDENT,US
1982,H2MO05113,False,N,[1982],05,5.0,['05'],[1982],False,,False,,O,Open seat,,,2002-03-30T00:00:00,"ACHTENBERG, IRVING",H,House,DEM,DEMOCRATIC PARTY,MO
2020,P00009217,False,N,"[2020, 2022, 2024]",00,0.0,['00'],[2020],False,2019-01-12,False,,C,Challenger,2019-01-12,2019-01-12,2021-12-08T06:50:50,"ACKER, BRANDON W",P,President,DEM,DEMOCRATIC PARTY,US
2018,H8NC07093,False,N,"[2016, 2018, 2022, 2024]",07,7.0,['07'],[2018],False,2016-05-10,True,,C,Challenger,2016-07-22,2016-07-22,2017-01-05T21:04:01,"ACKER, BRANDON W.",H,House,DEM,DEMOCRATIC PARTY,NC
2000,H6CA25110,False,N,"[1996, 1998, 2000]",25,25.0,"['25', '25', '25']","[1996, 1998, 2000]",False,1996-10-13,False,,C,Challenger,,1996-10-13,2002-04-07T00:00:00,"ACKER, BRUCE R",H,House,LIB,LIBERTARIAN PARTY,CA
2014,H4NY07011,False,N,"[1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018]",05,5.0,"['07', '07', '07', '07', '05', '05', '05', '05', '05', '05', '05', '05', '05', '05', '05', '05']","[1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014]",False,1983-01-31,True,[2012],C,Challenger,2011-10-03,2011-10-03,2013-01-03T22:17:08,"ACKERMAN, GARY L.",H,House,DEM,DEMOCRATIC PARTY,NY
2012,H2KY05144,False,N,[2012],05,5.0,['05'],[2012],False,,False,,C,Challenger,,,2012-02-16T21:59:10,"ACKERMAN, MICHAEL",H,House,DEM,DEMOCRATIC PARTY,KY
2022,H2NC05165,False,C,[2022],05,5.0,['05'],[2022],False,2021-04-10,True,,C,Challenger,2021-04-10,2021-04-10,2021-07-15T01:38:43,"ACKERMAN, MICHAEL STEPHAN",H,House,REP,REPUBLICAN PARTY,NC
2020,H0NV02209,False,P,"[2020, 2022]",02,2.0,['02'],[2020],False,2019-11-11,True,,C,Challenger,2019-11-11,2019-11-11,2021-03-29T15:22:09,"ACKERMAN, PATRICIA GERALDENE MS.",H,House,DEM,DEMOCRATIC PARTY,NV
2006,H6CA48047,False,C,[2006],48,48.0,['48'],[2006],False,,True,,O,Open seat,,,2005-07-07T00:00:00,"ACKERMAN, RICHARD",H,House,REP,REPUBLICAN PARTY,CA
2020,P00014241,False,N,"[2020, 2022, 2024]",00,0.0,['00'],[2020],False,2019-11-07,True,,C,Challenger,2019-11-07,2019-11-07,2021-12-08T06:50:50,"ACKER, RYAN",P,President,NON,NON-PARTY,US
1980,H0IN05011,False,P,"[1980, 1982, 1984]",05,5.0,['05'],[1980],False,1979-08-31,True,,,,1979-08-31,1979-08-31,2002-03-30T00:00:00,"ACKERSON, NELS",H,House,DEM,DEMOCRATIC PARTY,IN
2008,H8IN04108,False,P,"[2008, 2010, 2012]",04,4.0,['04'],[2008],False,2007-07-13,True,,C,Challenger,2008-01-09,2008-01-09,2008-01-10T22:04:10,"ACKERSON, NELS",H,House,DEM,DEMOCRATIC PARTY,IN
2018,S8OH00094,False,C,[2018],00,0.0,['00'],[2018],False,2017-09-21,True,,C,Challenger,2017-09-21,2017-09-21,2018-02-21T21:15:37,"ACKISON, MELISSA",S,Senate,REP,REPUBLICAN PARTY,OH
2016,H6VI01024,False,N,[2016],00,0.0,['00'],[2016],False,2016-06-13,False,,C,Challenger,2016-06-13,2016-06-13,2016-08-17T21:29:25,"ACKLEY, GORDON P",H,House,REP,REPUBLICAN PARTY,VI
2012,S2AZ00281,False,N,[2012],00,0.0,['00'],[2012],False,2012-07-03,False,,O,Open seat,2012-07-03,2012-07-03,2012-07-16T22:17:44,"ACLE, LUIS",S,Senate,REP,REPUBLICAN PARTY,AZ
1992,H8CA44018,False,P,"[1988, 1990, 1992, 1994, 1996, 1998]",50,50.0,"['44', '50']","[1988, 1992]",False,1987-09-25,True,,C,Challenger,1992-01-24,1992-01-24,2002-04-03T00:00:00,"ACLE, LUIS JR",H,House,REP,REPUBLICAN PARTY,CA
2020,P00008979,False,N,"[2018, 2020]",00,0.0,['00'],[2020],False,2018-12-10,False,,C,Challenger,2018-12-10,2018-12-10,2019-01-28T21:05:11,"ACORD, ROBERT BRADFORD LEE",P,President,DEM,DEMOCRATIC PARTY,US
2020,H0FL21037,False,C,[2020],21,21.0,['21'],[2020],False,2019-05-09,True,,C,Challenger,2019-05-09,2019-05-09,2019-07-15T21:09:43,"ACOSTA, CHRISTIAN F.",H,House,REP,REPUBLICAN PARTY,FL
2012,H2CA25176,False,P,"[2012, 2014, 2016]",25,25.0,['25'],[2012],False,2012-03-29,True,,C,Challenger,2012-03-29,2012-03-29,2013-04-26T09:04:30,"ACOSTA, DANTE",H,House,REP,REPUBLICAN PARTY,CA
2020,H0MI11103,False,N,"[2020, 2022, 2024]",11,11.0,['11'],[2020],False,2019-07-29,False,,C,Challenger,2019-07-29,2019-07-29,2019-08-23T22:05:29,"ACOSTA, FRANK",H,House,REP,REPUBLICAN PARTY,MI
2006,H6TX17085,False,N,[2006],17,17.0,['17'],[2006],False,,False,,C,Challenger,,,2006-01-19T00:00:00,"ACOSTA, GUILLERMO",H,House,LIB,LIBERTARIAN PARTY,TX
2016,P60020708,False,N,[2016],00,0.0,['00'],[2016],False,2016-03-22,False,,O,Open seat,2016-03-22,2016-04-19,2016-11-17T06:10:49,"ACOSTA, MARIO",P,President,AIP,AMERICAN INDEPENDENT PARTY,US
2014,S4CO00296,False,N,"[2004, 2014]",00,0.0,"['00', '00']","[2004, 2014]",False,,False,,C,Challenger,,,2014-09-29T21:49:16,"ACOSTA, RAUL",S,Senate,IND,INDEPENDENT,CO
2000,H0MI05055,False,P,"[2000, 2002]",05,5.0,['05'],[2000],False,2000-05-30,True,,C,Challenger,2000-05-30,2000-05-30,2002-04-12T00:00:00,"ACTIS, RONALD GEORGE",H,House,REP,REPUBLICAN PARTY,MI
2010,H0IN04212,False,C,[2010],04,4.0,['04'],[2010],False,2010-02-22,True,,O,Open seat,2010-02-22,2010-02-22,2010-04-27T22:43:38,"ACTON, JON DAVID",H,House,REP,REPUBLICAN PARTY,IN
2006,H6NC04128,False,P,"[2006, 2008]",04,4.0,['04'],[2006],False,2006-01-25,True,,C,Challenger,2006-01-25,2006-01-25,2009-04-29T00:00:00,"ACUFF, STEVEN D",H,House,REP,REPUBLICAN PARTY,NC
2018,H8FL27219,False,P,"[2018, 2020]",27,27.0,['27'],[2018],False,2018-04-15,True,,O,Open seat,2018-04-15,2018-04-15,2019-03-27T16:02:41,"ADADI, ELIZABETH",H,House,REP,REPUBLICAN PARTY,FL
1986,H6MD07046,False,P,"[1976, 1986, 1988, 1990, 1992, 1994, 1996]",07,7.0,"['07', '07']","[1976, 1986]",False,1976-07-16,True,,C,Challenger,1985-12-23,1985-12-23,2002-04-02T00:00:00,"ADAIR, AUGUTUS ALVEN (GUS)",H,House,DEM,DEMOCRATIC PARTY,MD
2010,H0AZ03446,False,N,[2010],03,3.0,['03'],[2010],False,,False,,C,Challenger,,,2010-10-25T23:22:34,"ADAIR, CLAY",H,House,LIB,LIBERTARIAN PARTY,AZ
2018,H8TX06209,False,N,[2018],06,6.0,['06'],[2018],False,2017-03-29,True,,O,Open seat,2017-03-29,2017-03-29,2018-01-09T21:09:43,"ADAIR, GLENN DAREN MR. N/A",H,House,LIB,LIBERTARIAN PARTY,TX
2024,H4MO07164,False,C,[2024],07,7.0,['07'],[2024],False,2024-02-03,True,,C,Challenger,2024-02-03,2024-02-03,2024-04-10T21:00:50,"ADAIR, JOHN DOUGLAS",H,House,REP,REPUBLICAN PARTY,MO
2006,S6WA00289,False,P,"[2006, 2008]",00,0.0,['00'],[2006],False,2006-07-26,True,,C,Challenger,2006-07-31,2006-07-31,2009-04-29T00:00:00,"ADAIR, ROBIN",S,Senate,IND,INDEPENDENT,WA
2010,H0WA08095,False,N,[2010],08,8.0,['08'],[2010],False,,False,,C,Challenger,,,2010-06-25T22:16:36,"ADAIR, ROBIN",H,House,OTH,OTHER,WA
2020,S0AL00248,False,C,[2020],00,0.0,['00'],[2020],False,2019-04-11,True,,C,Challenger,2019-04-11,2019-04-11,2019-07-15T21:09:43,"ADAIR, STANLEY E",S,Senate,REP,REPUBLICAN PARTY,AL
2002,H2GU00058,False,P,"[2002, 2004]",00,0.0,['00'],[2002],False,2002-08-27,True,,C,Challenger,2002-09-12,2002-09-12,2002-10-04T00:00:00,"ADA, JOSEPH F",H,House,REP,REPUBLICAN PARTY,GU
1996,H6CA19105,False,N,[1996],19,19.0,['19'],[1996],False,,False,,C,Challenger,,,2002-04-02T00:00:00,"ADALIAN, DAVID P SR",H,House,NLP,NATURAL LAW PARTY,CA
2020,H0WY01044,False,N,"[2020, 2022, 2024]",00,0.0,['00'],[2020],False,2020-07-10,False,,C,Challenger,2020-07-10,2020-07-10,2020-08-21T01:04:24,"ADALIA, ZOILO",H,House,DGR,DESERT GREEN PARTY,WY
2020,H0CA50236,False,N,"[2020, 2022, 2024]",50,50.0,['50'],[2020],False,2020-07-09,False,,O,Open seat,2020-07-09,2020-07-09,2020-08-21T01:04:24,"ADALIA, ZOILO MR",H,House,DGR,DESERT GREEN PARTY,CA
2020,H0WY00152,False,N,"[2020, 2022, 2024]",00,0.0,['00'],[2020],False,2020-07-10,False,,C,Challenger,2020-07-10,2020-07-10,2020-08-21T01:04:24,"ADALIA, ZOILO MR",H,House,DGR,DESERT GREEN PARTY,WY
2020,H0CA38173,False,N,"[2020, 2022, 2024]",38,38.0,['38'],[2020],False,2020-07-09,False,,C,Challenger,2020-07-09,2020-07-09,2020-08-21T01:04:24,"ADALIA, ZOILO MR",H,House,DGR,DESERT GREEN PARTY,CA
2020,P00016469,False,N,"[2020, 2022, 2024]",00,0.0,['00'],[2020],False,2020-07-04,False,,C,Challenger,2020-07-07,2020-07-07,2021-12-08T06:50:50,"ADALIA, ZOILO MR",P,President,DGR,DESERT GREEN PARTY,US
